C1,4.45,12.07,90,0.1uF,0603
C2,26.04,12.07,90,0.1uF,0603
C3,27.94,15.88,90,20pF,0603
C4,29.85,15.88,90,20pF,0603
C5,8.89,15.24,0,0.1uF,0603
C6,5.08,17.14,270,10uF,EIA3216
C7,24.13,20.32,90,0.1uF,0603
C8,8.89,18.41,0,0.1uF,0603
C9,24.13,15.88,90,1uF,0603
D1,17.14,8.89,180,PLCC-2
J1,17.14,3.42,0,10104110-0001LF,10104110-0001LF
Q1,28.89,20.32,0,CTS406
R1,6.99,12.07,90,10K,0603
R2,9.53,12.07,90,330R,0603
R3,27.94,12.07,90,33K,0603
R4,29.85,12.07,90,330R,0603
R5,26.04,15.88,90,47K,0603
R6,24.13,12.07,90,47K,0603
R7,17.14,11.43,0,470R,0603
R8,13.34,10.16,90,22R,0603
R9,20.96,10.16,90,22R,0603
SW1,6.99,6.35,0,EVQ-Q2B03W,EVQ-Q2B03W
SW2,27.30,6.35,0,EVQ-Q2B03W,EVQ-Q2B03W
U1,17.14,17.78,270,AT90USB162-16AU,32-TQFP
